service_type,department,division,position_number,job_title,total_pay,city,state
Community Maintenance and Development,Public Works,Public Buildings,C733-056,Senior Laborer/Bldg Operations,56493,Cambridge,MA
Community Maintenance and Development,Public Works,Cemetery,C613-002,Cemetery Maint Craftsperson,56493,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C695-003,Highway Maint Craft/MEO I,56493,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C695-001,Highway Maint Craft/MEO I,56493,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,C323-006,Park Maint Crafts/MEO I,56493,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,C323-012,Park Maint Crafts/MEO I,56493,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,C323-014,Park Maint Crafts/MEO I,56493,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C745-048,MEO/Laborer/PWD,56424,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C527-001,Sr Storekeeper/Traffic,56382,Cambridge,MA
Community Maintenance and Development,Water,Source of Supply,M193-702,Ranger/Water,56375,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C140-005,Parking Violation Cashier,56251,Cambridge,MA
Human Resource Development,Human Services,Office of Early Childhood,M672-001,Evaluation Coordinator,56202,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C745-047,MEO/Laborer/PWD,56138,Cambridge,MA
Human Resource Development,Library,Main Library,L414-702,Library Assistant,56107,Cambridge,MA
Human Resource Development,Library,Main Library,l414-711,Library Assistant,56107,Cambridge,MA
Human Resource Development,Library,Main Library,L414-725,Library Assistant,56107,Cambridge,MA
Human Resource Development,Library,Main Library,L414-724,Library Assistant,56107,Cambridge,MA
Human Resource Development,Library,Main Library,L414-727,Library Assistant,56107,Cambridge,MA
Human Resource Development,Human Services,Community Learning Center,M800-705,CLC Staff/Comm Learn Cntr,55854,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,C644-177,Laborer,55709,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005384,Senior Clerk,55662,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C469-007,Parking Control Officer,55654,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C469-010,Parking Control Officer,55647,Cambridge,MA
Community Maintenance and Development,Community Development,Administration,C094-715,Admin Asst/Fisc/Gen/Bld/R,55611,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001865,Custodian Jr 1,55517,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004638,Custodian Jr 1,55517,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000037,Custodian Jr 1,55517,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000117,Custodian Jr 1,55517,Cambridge,MA
Human Resource Development,Human Services,Multi-Service Center,C110-705,Sr Clerk & Typist,55516,Cambridge,MA
Public Safety,Police,Patrol,C110-013,Sr Clerk & Typist,55516,Cambridge,MA
Public Safety,Police,Administration,C176-016,Account Clerk,55516,Cambridge,MA
Public Safety,Police,Administration,C176-017,Account Clerk,55516,Cambridge,MA
Public Safety,Police,Criminal Investigations,C110-012,Sr Clerk & Typist,55516,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C469-023,Parking Control Officer,55458,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-710,Head Teacher/Daycare,55320,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004604,Teacher Job Share,55318,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005409,Teacher,55318,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002366,Senior Clerk,55297,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004366,Aide-7,55185,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005289,Aide-7,55185,Cambridge,MA
Human Resource Development,Human Services,Elderly Services & Council on Aging,M861-701,Sr Food Pantry Coordinato,55090,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C745-049,MEO/Laborer/PWD,55070,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C745-052,MEO/Laborer/PWD,55070,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C745-046,MEO/Laborer/PWD,55070,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C745-040,MEO/Laborer/PWD,55070,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C745-039,MEO/Laborer/PWD,55070,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C745-060,MEO/Laborer/PWD,55070,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005387,Senior Clerk,55051,Cambridge,MA
Community Maintenance and Development,Cable Television,22-CityView & CCTV,M387-701,Master Control Operator,55051,Cambridge,MA
Human Resource Development,Human Services,Office of Early Childhood,A805-001,Administrative Support Spec.,54887,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C745-050,MEO/Laborer/PWD,54875,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,M226-701,Records Coordinator,54847,Cambridge,MA
Human Resource Development,Library,Main Library,L412-740,Staff Librarian,54841,Cambridge,MA
Human Resource Development,Human Services,Baby U and Center for Families,A806-702,Family Support Worker,54841,Cambridge,MA
Human Resource Development,Human Services,Baby U and Center for Families,K119-001,Baby U Program Coordinator,54498,Cambridge,MA
Human Resource Development,Human Services,Youth Programs,M283-702,CYP Youth Connector,54381,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C745-045,MEO/Laborer/PWD,54236,Cambridge,MA
Human Resource Development,Library,Main Library,C738-006,Building Custodian/Library,54113,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,I249-001,Compliance Inspector,54107,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-708,Head Teacher/Daycare,54064,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,C644-238,Laborer,53937,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,C644-236,Laborer,53937,Cambridge,MA
General Government,City Clerk,Administration,C107-707,Principal Clerk,53917,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C469-005,Parking Control Officer,53858,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,C323-010,Park Maint Crafts/MEO I,53829,Cambridge,MA
Human Resource Development,Library,Main Library,L414-749,Library Assistant,53829,Cambridge,MA
Human Resource Development,Library,Main Library,L414-748,Library Assistant,53829,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,C644-240,Laborer,53653,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C469-021,Parking Control Officer,53629,Cambridge,MA
Human Resource Development,Human Services,Recreation,A860-701,Bus Driver/COA,53626,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004603,Math Interventionist,53578,Cambridge,MA
Public Safety,Police,Criminal Investigations,M371-701,Victim Advocate Assistant,53549,Cambridge,MA
Community Maintenance and Development,Public Works,Cemetery,C644-153,Laborer,53521,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007251,Custodian Jr 1,53486,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001876,Custodian Jr 1,53486,Cambridge,MA
General Government,City Clerk,Administration,C107-711,Principal Clerk,53279,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002211,Aide-7,53237,Cambridge,MA
Human Resource Development,Library,Main Library,L414-720,Library Assistant,53231,Cambridge,MA
Human Resource Development,Library,Main Library,L414-715,Library Assistant,53178,Cambridge,MA
Human Resource Development,Library,Main Library,L414-723,Library Assistant,53160,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005151,Aide-7,53129,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,C644-239,Laborer,52880,Cambridge,MA
General Government,Election Commission,Administration,C113-155,Clerk & Typist,52845,Cambridge,MA
Public Safety,Police,Administration,C113-149,Clerk & Typist,52845,Cambridge,MA
Public Safety,Police,Administration,C113-154,Clerk & Typist,52845,Cambridge,MA
General Government,Election Commission,Administration,C110-027,Sr Clerk & Typist,52760,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C469-029,Parking Control Officer,52677,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C469-041,Parking Control Officer,52677,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C469-038,Parking Control Officer,52677,Cambridge,MA
Human Resource Development,Human Services,Youth Programs,M558-001,"Admistrative Assistant, CYP",52608,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C469-017,Parking Control Officer,52407,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005385,Senior Clerk,52401,Cambridge,MA
General Government,City Clerk,Administration,C107-708,Principal Clerk,52390,Cambridge,MA
Public Safety,Police,Technical Services,M309-701,Crime Analyst/Traffic.Police,52275,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C745-059,MEO/Laborer/PWD,52267,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C644-061,Laborer,52239,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C641-007,Traffic Maintenance Worker I,52237,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,C644-035,Laborer,52233,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005091,Aide-7,52217,Cambridge,MA
General Government,Election Commission,Administration,C110-025,Sr Clerk & Typist,52048,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001642,Speech/Language Pathologist,51969,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000160,Academic Support Program Mgr,51944,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005259,Academic Support Program Mgr,51944,Cambridge,MA
Community Maintenance and Development,Cable Television,22-CityView & CCTV,C086-001,Administrative Assistant/Cable,51936,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C469-019,Parking Control Officer,51874,Cambridge,MA
Community Maintenance and Development,Capital Building Projects,Administration,M635-001,Office Manager/Capital Building Projects,51659,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004610,Custodian Jr 1,51609,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001882,Custodian Jr 1,51609,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004152,Custodian Jr 1,51609,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001889,Custodian Jr 1,51609,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004570,Custodian Jr 1,51609,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001871,Custodian Jr 1,51609,Cambridge,MA
General Government,Finance,Purchasing,C193-004,Buyer/Purchasing,51546,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,C090-002,Admin Assistant,51518,Cambridge,MA
Community Maintenance and Development,Capital Building Projects,Administration,M422-002,Community Relations Manager,51459,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C469-002,Parking Control Officer,51394,Cambridge,MA
Human Resource Development,Human Services,Community Learning Center,K124-001,Program Assistant,51370,Cambridge,MA
Human Resource Development,Human Services,Community Learning Center,K124-002,Program Assistant,51370,Cambridge,MA
Public Safety,License Commission,Administration,C099-004,Admin Asst/Lic/City Clerk,51325,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005206,Aide-6.5,51308,Cambridge,MA
Human Resource Development,Library,Main Library,L431-736,Library Associate,51098,Cambridge,MA
Community Maintenance and Development,Public Works,Urban Forestry,C644-243,Laborer,51095,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,C644-083,Laborer,51095,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,C644-218,Laborer,51095,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C641-229,Traffic Maintenance Worker I,51016,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005074,Aide-7,50996,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005605,Aide-7,50996,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008290,Aide-7,50996,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D446-722,Teacher/Daycare,50945,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D446-729,Teacher/Daycare,50945,Cambridge,MA
